feature_a,feature_b,spearman_correlation,abs_spearman_correlation
vol_96h,dist_high_96h,-0.3698981745082886,0.3698981745082886
ret_48h,eth_ret_168h,0.36860616604832874,0.36860616604832874
ret_1h,bb_pctb_20h,0.36808233811380053,0.36808233811380053
bb_bw_20h,trades_z_168h,0.3669920125129564,0.3669920125129564
dist_low_24h,oi_chg_24h,0.3650343213667245,0.3650343213667245
atr_pct_14h,dow_sin,0.3633161097218558,0.3633161097218558
vol_6h,dist_high_24h,-0.3632180890437138,0.3632180890437138
atr_pct_14h,dist_high_96h,-0.36041939807430196,0.36041939807430196
atr_pct_14h,dist_high_168h,-0.35888092906877195,0.35888092906877195
taker_buy_ratio_24h,oi_chg_24h,0.3559260169895646,0.3559260169895646
rsi_14h,dist_low_168h,0.34930955861634616,0.34930955861634616
ret_12h,dist_low_168h,0.3486779536772669,0.3486779536772669
volume_z_168h,dow_sin,0.3475774437747927,0.3475774437747927
vol_168h,funding_std_168h,0.3455951367915272,0.3455951367915272
vol_168h,dist_high_168h,-0.3451435508480009,0.3451435508480009
vol_168h,low,-0.34423982300991224,0.34423982300991224
bb_bw_20h,volume_z_168h,0.3413343973332543,0.3413343973332543
vol_24h,dist_high_96h,-0.3410153304449376,0.3410153304449376
vol_168h,open,-0.340650733186518,0.340650733186518
dist_low_96h,taker_buy_ratio_24h,0.340550141199299,0.340550141199299
vol_168h,close,-0.34045225362564413,0.34045225362564413
dist_high_168h,taker_buy_ratio_24h,0.3403638674530322,0.3403638674530322
vol_24h,vol_ratio_6_96,0.33806266648654165,0.33806266648654165
vol_168h,high,-0.33695248910519876,0.33695248910519876
vol_168h,dist_low_24h,0.3367205142421778,0.3367205142421778
ret_6h,dist_high_96h,0.3350605784021294,0.3350605784021294
bb_pctb_20h,dist_low_168h,0.33399223880669504,0.33399223880669504
ret_1h,ret_6h,0.33361973251478333,0.33361973251478333
vol_96h,volume,0.3333971174177357,0.3333971174177357
vol_24h,dist_high_168h,-0.33322221123458606,0.33322221123458606
rsi_14h,taker_buy_ratio_24h,0.3320760266924656,0.3320760266924656
ret_6h,eth_ret_24h,0.3291644962944316,0.3291644962944316
dist_low_96h,oi_chg_24h,0.3280713122581619,0.3280713122581619
bb_pctb_20h,taker_buy_ratio_24h,0.3264221824593113,0.3264221824593113
vol_24h,trades_z_168h,0.3251629225508722,0.3251629225508722
dist_low_168h,funding_std_168h,0.32485708527963375,0.32485708527963375
atr_pct_14h,volume_z_168h,0.3247872272357462,0.3247872272357462
ret_48h,dist_low_24h,0.32432993752470196,0.32432993752470196
ret_24h,ret_168h,0.3239872697047342,0.3239872697047342
funding_mean_24h,lsr_top_level,0.3235752888973649,0.3235752888973649
ret_6h,dist_low_96h,0.32322500018505607,0.32322500018505607
vol_6h,dist_low_24h,0.3222596188026959,0.3222596188026959
