feature,dtype,rows,missing_count,missing_ratio,unique_count,is_numeric,infinite_count,is_constant,mean,std,min,q01,q50,q99,max,spearman_to_target
cvp_poc_dist,float64,271797,0,0.0,270323,True,0,False,0.03276215222010722,0.3579874034956923,-1.1032781667727325,-0.8014927966673314,0.0237540244687663,0.8506036652832732,1.0864881780250102,-0.00796890431638993
cvp_regime,float64,271797,0,0.0,102840,True,0,False,0.16668573862927188,0.12764071470605284,0.0,0.0325593177404502,0.1241054544106346,0.6319534906161061,1.0,-0.05609695696192613
cvp_vah_val_width,float64,271797,0,0.0,8809,True,0,False,0.3638547150998723,0.17713737064557042,0.0,0.0,0.4,0.6600000000000021,0.7800000000000019,0.020122937397971535
cvp_volume_imbalance,float64,271797,0,0.0,256620,True,0,False,0.04569098625167677,0.629472686491208,-1.0,-1.0,0.0820164154626677,1.0,1.0,0.01166775486410488
distance_to_day_high_low_pct,float64,271797,0,0.0,268886,True,0,False,0.031705198052825,0.5578831659095155,-1.0,-0.9662648655724002,0.0527129386141154,0.9715026207958753,0.9999999999980114,0.012677473307150125
dual_momentum,float64,271797,0,0.0,3,True,0,False,0.09871337799902133,0.645641898219728,-1.0,-1.0,0.0,1.0,1.0,0.01234742674727636
eth_btc_beta_residual_z,float64,271797,0,0.0,271209,True,0,False,-5.4765574752759195e-06,0.20188626360205827,-1.0,-0.5631103324108472,0.0006284039232382,0.5474102471034901,1.0,-0.0019395876876040106
eth_btc_ret_spread_12,float64,271797,0,0.0,271786,True,0,False,0.0003572805040452517,0.07945121597451235,-0.9150297481108874,-0.24050048120843134,0.0015099678710329,0.21714044016299008,0.9933782259343024,-0.013678370791426598
eth_btc_ret_spread_48,float64,271797,0,0.0,271750,True,0,False,0.0008276268604850359,0.09563421413865815,-0.938323248387326,-0.2869412692426178,0.0030479832772654,0.2556554774334034,0.9546239121654182,-0.024223837118568178
execution_quality,float64,271797,0,0.0,271797,True,0,False,-0.1939041099266728,0.20179324811043114,-0.8959456542166774,-0.6434377698028926,-0.1981262438052099,0.2904792409417983,0.8556200870513339,-0.020959149226932854
fibonacci_level,float64,271797,0,0.0,269069,True,0,False,0.5224230877989449,0.27065852546884683,0.0,0.0270925488371824,0.5367561260184982,0.9781041275956229,0.9999999999990056,0.02911432166241891
funding_abs,float64,271797,0,0.0,1940,True,0,False,7.460494413109787e-05,8.174785835938397e-05,1e-08,1.16e-06,6.066e-05,0.00047059,0.00088148,-0.08236129141910678
funding_pressure,float64,271797,0,0.0,219646,True,0,False,0.018637487926356784,0.023947216601936012,-0.04057962,-0.018375307599999998,0.01556751,0.13490085719999945,0.21127392,-0.04353059654008761
funding_price_divergence,float64,271797,0,0.0,251718,True,0,False,0.004063048042378364,1.3931110247245062,-3.0,-3.0,0.0120511616972447,3.0,3.0,0.006581138405868704
funding_roc_288,float64,271797,0,0.0,3011,True,0,False,0.013576960213421207,0.44337386596581296,-1.574942505749425,-0.987901209879012,0.0,1.1604839516048393,3.373362663733627,-0.0006508252674818949
fvg_dist,float64,271797,0,0.0,270147,True,0,False,-3.10025302026306e-05,0.0018476283677412698,-0.0965291426151742,-0.0061947278748097434,2.970333791216128e-06,0.0053818043232309164,0.0374828461427118,0.005721658340806484
